RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31
91982,1,77494,zip,TX,TX,Katy,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,1498.067626507939,1503.975318869213,1512.6568572862482,1520.4032605746127,1523.8253068265603,1527.4946955594687,1535.697001916698,1533.1667206218885,1527.16466090333,1511.5917576629872,1503.805978878955,1487.5363512114739,1480.392781360796,1465.9248517298763,1473.9629769448359,1471.3811003841172,1469.266501476529,1464.9308047701375,1455.5940912020428,1454.522719482669,1445.761058960101,1430.5863697038324,1409.7762770935926,1387.532076165342,1406.2948022130545,1431.0870294760978,1455.2370313250399,1455.6403606614253,1463.6455513558622,1471.9656763825762,1472.5452023699982,1462.5628801156079,1471.4717694916028,1483.906506317317,1498.5988841940866,1496.0330369561007,1502.9352099258415,1509.849005262756,1514.5670900837201,1510.1012773627072,1506.8151733351897,1506.7415733488838,1502.9945354591223,1494.0572060459951,1482.2725856331788,1481.3256606462721,1484.4054725166177,1489.7302015839955,1496.5141247978102,1501.174634214979,1511.5156814922088,1515.6114043808864,1517.6222172771152,1516.651705160216,1514.9081576353735,1523.0807454060796,1515.554087933963,1518.9797991487264,1516.639362692736,1525.9506321197255,1529.6624030950345,1535.4891759812342,1540.4243304942934,1547.2948713295925,1540.3535749381526,1536.9462084268207,1529.865880335182,1539.569114767217,1550.6266274932111,1552.794484117129,1561.6765214875575,1567.2841140746234,1576.9565046798461,1579.2611185973662,1581.5330629892012,1601.8333933808592,1630.5440190334882,1673.931192646919,1706.6014056028557,1731.187051658394,1748.473177518239,1762.5623811221665,1786.4739038594973,1791.7520708917612,1799.660197603553,1795.2981853008519,1802.9369536580762,1817.3662551178836,1843.3586547430816,1868.092137551326,1891.350984710628,1891.8361635297715,1886.157016083671,1873.0182354092337,1858.0103925908727,1860.2890847602125,1888.1952490376907,1899.8884037112996,1907.9018337574746,1881.3140497195661,1889.7102727089868,1896.2361216766571,1908.477009353711,1914.6445237960972,1917.5856189327235,1912.9456311321442,1893.6576701711713,1884.7206290471786
91940,3,77449,zip,TX,TX,Katy,"Houston-The Woodlands-Sugar Land, TX",Harris County,1290.517270041746,1287.9446961989129,1295.1136443125467,1306.961076778884,1317.6493301175635,1327.888050787466,1330.2058749715861,1334.080607839294,1335.2947936115131,1336.0484545824518,1333.5043141503404,1329.7879839379962,1322.1725289006072,1321.3621777397695,1330.6139111532245,1343.073322739417,1349.7608229715881,1341.8790426897203,1335.1331718264814,1328.7065655332065,1325.988046759899,1321.711377787949,1312.1852194650385,1303.153869797471,1303.183563443941,1314.5078588950435,1325.6025674043365,1332.7204682644071,1334.1659936426854,1339.9137518800605,1347.6803586495366,1349.2508242404547,1354.4587115110007,1353.7332841651128,1361.7372833990826,1364.343945570166,1376.093210018486,1380.7867988627347,1382.1717195324347,1382.6708216694658,1388.565034194955,1396.091667879334,1397.7677193155666,1398.6539453926218,1396.2291190871042,1393.9588359881102,1395.84058199135,1391.6480652718737,1388.5380892602386,1386.2578472347188,1392.0075314596968,1397.8701012314245,1406.6350898446126,1410.4173840631079,1418.0871031070408,1414.5135206423918,1417.9560317503597,1413.0375776531275,1409.6887021410382,1411.1770297031849,1419.2844460006168,1430.2747494173632,1441.4141022109222,1438.3203710835328,1430.1267317590489,1430.8377138256963,1444.5759825483906,1462.2534914289397,1470.366522959672,1470.270225533005,1475.5339113806165,1484.7176069292525,1495.4478528169452,1504.0079807608745,1511.0332148053994,1532.1387229471272,1570.4787432091935,1614.1454504961512,1651.4273812269928,1661.649482394867,1665.4631201436862,1678.6723970796622,1683.2742208596367,1700.8732395080644,1697.7875124541354,1728.0321242970576,1749.6722885548556,1770.4298557650393,1750.383699789403,1748.5271461701213,1785.8787099672422,1850.355761912486,1853.2135868822381,1834.287620803977,1794.4235237562916,1792.6826753407709,1784.7963226219877,1794.8635393228858,1802.117492673641,1805.3195077984676,1809.8397786820008,1821.434626542726,1830.2564597349278,1842.8686127900523,1845.3897518638832,1831.384137130586,1821.027073227853,1822.782122093023
91733,5,77084,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,,,,,,,,,,,,,,,,,1348.3435236329908,1334.7194332869778,1340.0886908159735,1351.468447288403,1356.476961982373,1352.8117078093705,1346.6459384222926,1344.0221572350056,1340.8222988058442,1342.5041858960067,1357.5682277750375,1362.6139345328531,1371.5615203715397,1372.9982115497116,1381.0583584511576,1382.9815676914566,1400.209719594301,1410.2732905611495,1422.5182879388071,1411.0622661336233,1408.8808895059049,1404.1783058015624,1404.407499797073,1412.9287729883033,1418.0980867305009,1426.382008527029,1421.160097651997,1425.931668364488,1429.4647416211328,1429.5844812182504,1438.7117835887884,1438.7757958099862,1442.1499457338653,1427.6812191142303,1438.1309434396985,1451.351161725909,1472.6065024810116,1471.840205450949,1475.9564939270058,1473.5086677386605,1469.8723667679058,1464.4312128907575,1466.2256241680543,1471.9030190976964,1476.008204872448,1479.9494921181604,1489.5491841787236,1487.9132528745697,1492.4331094064053,1497.5208728239706,1509.1326458842175,1516.99927270551,1526.1271124450927,1538.2353807370928,1532.162086102205,1531.618413918836,1530.2682449802605,1540.106192600022,1546.8330479224517,1558.1289852087345,1596.8793267635347,1630.7965013367068,1684.824738961641,1731.157657803764,1768.17975693155,1763.4425138073432,1746.0435543862936,1749.6502731712726,1768.3276272761052,1789.1243022111607,1799.642926805443,1814.158674874647,1831.8689099406874,1846.4771652550721,1862.6286947263766,1841.7916715534238,1838.7444331922084,1817.1082062700598,1828.6853472738005,1823.6558066354394,1828.951451563893,1827.6154311492244,1844.1491512484554,1857.0063071834165,1875.5136290462112,1880.5371231037218,1876.8999658779423,1881.08228453607,1877.7878889852855,1906.1407659424417,1894.8764845380394,1901.7910628019324
93144,6,79936,zip,TX,TX,El Paso,"El Paso, TX",El Paso County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170.9528374746255,1173.2866175785641,1181.447630388662,1187.3366559275423,1212.7013912148184,1232.1403040351497,1253.4156031663033,1273.9589598176865,1263.4727738433319,1259.584447339871,1261.4153927870136,1283.1623485767734,1307.971690467209,1319.6204894446955,1347.0832259557621,1366.5820790987468,1387.4887099940472,1372.5937059994046,1376.464728072104,1379.1558440835588,1414.078174703655,1429.7710614070513,1422.830222030995,1412.04996189214,1417.9002452177238,1421.5891980441309,1445.3200016516482,1442.9860258517754,1449.5838119944378,1454.557439728123,1459.3071727274948,1473.6439393939393
62093,7,11385,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,,2045.5240236568836,,2107.253313155444,2123.1500491387937,2106.0871187262865,2143.62769270798,2217.109029212267,2249.498992743213,,2170.256799748174,2136.6841713476447,2139.4573451781753,2202.80382649995,2211.4150131188117,2239.051069373596,2224.5681934404556,2233.792438219372,2258.4724518814205,2277.8439371910745,2317.4605995517154,2338.654305221673,2301.408611531302,2285.18656826705,2266.847428792352,2290.3271555530223,2288.426875203562,2276.2929840713014,2286.224119799895,2279.491420834522,2302.322889649018,2301.3278402144724,2344.165207309051,2313.7494759179003,2318.093805215893,2290.7989939163035,2283.11115820509,2257.5168498421867,2265.5514087329984,2283.5135533743032,2312.3370654241226,2315.8112444680237,2330.8543194844483,2333.6936990533577,2348.38765298599,2362.6899078429037,2358.402584355038,2347.2634123894945,2328.9355798867923,2350.379323708666,2350.181188873165,2369.8910781129266,2353.042037238661,2402.910345831795,2426.84567453936,2444.812044976142,2427.50440310522,2417.1705823557522,2436.583077874718,2437.6149062527857,2447.824992870352,2462.213636759506,2453.2890967040075,2431.74730983017,2427.243019013152,2426.0037031254315,2437.0867863769513,2386.2805624713997,2358.24381736465,2330.048839068735,2307.7537940574002,2270.751599235259,2249.169050273277,2229.61648703659,2244.771388101617,2236.083376347849,2281.3117577883077,2318.746191871992,2376.3164687640838,2409.6622830019783,2452.355364017311,2495.0833690900213,2526.8192744906705,2549.6053394148275,2552.5019499913406,2553.736967617396,2556.451534460909,2602.9369771169236,2680.0035717129736,2780.1794791319585,2844.103225478677,2904.661765412722,2923.9542996295418,2934.748577817866,2895.3467716878436,2852.5078487048368,2818.873454055681,2807.9715970586767,2815.933832320542,2841.971416098081,2887.0868046175106,2928.3169838903964,2954.8903928849722,2981.910353673265,2998.9247873939557,2987.783932351515,2961.2865816860935,2932.4364650364655
92593,8,78660,zip,TX,TX,Pflugerville,"Austin-Round Rock-Georgetown, TX",Travis County,1258.126142092327,1268.878283055908,1258.2879248753259,1253.0723508736257,1264.1576591260089,1278.3145236431876,1291.2939642802353,1297.903689227745,1295.059307152799,1294.0463535614258,1293.7046863784494,1303.3703555765935,1310.0465026086238,1321.0926616648712,,1325.2584250165446,1323.882542967101,1342.049236150158,1358.0683560421455,1360.341060180857,1353.588530554072,1347.9092698907023,1341.2291378272957,1328.7280975367894,1318.7860236580943,1330.374880254037,1352.586323273826,1369.9358285898677,1364.4218926069452,1365.3188347154808,1360.5363833248841,1374.3052149435384,1380.52928587963,1379.4176618664542,1373.7898028562615,1364.7137024025353,1366.5887712709568,1377.2031277522044,1386.579068196405,1400.3831395007073,1402.4340047980793,1408.3109229029824,1406.175123424739,1409.4959201888792,1410.6111997923726,1411.8657848814146,1417.1202724113625,1419.661590563074,1415.0419148161802,1416.4470374248176,1418.667182339776,1434.4547347382454,1435.3786960251603,1440.0269398472235,1444.0126340336174,1446.4480408637712,1445.3754424328308,1440.6633132087127,1443.518900054285,1449.1369736854208,1456.047668275018,1463.2524307826363,1479.8477027838462,1482.6380275556874,1476.724961650974,1460.368254234381,1473.5438380907726,1480.3354821128435,1490.6882081360986,1489.425932215696,1494.9308442415731,1491.203915187509,1501.7105923139568,1494.69453241613,1505.2795172054812,1518.8992777993199,1576.6566979997806,1633.579120266925,1678.9073696485418,,1763.9906810832185,1802.8750938433066,1801.070635555884,1809.3904398010707,1801.8368582479818,1816.3231883320284,1839.039953182497,1853.3547781778059,1865.2424597590561,1873.6150970382323,1887.639846084371,1877.0596076780791,1873.7431469937576,1861.6340614780952,1877.3258325773127,1870.7851710342318,1889.8807276170992,1891.302223606158,1893.391321926992,1887.1439789678286,1899.42810423224,1900.8686713061438,1898.6557112020869,1884.493494863979,1878.13105071817,1864.8735547120286,1843.1713383414344,1836.2991944198839
62019,9,11208,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2249.0390171804843,2291.43459481644,2322.580539592358,2360.8838589697434,2377.937865168004,2402.6218503604273,2359.7965695655384,2371.0361880935934,2379.901171702485,2408.969492705714,2483.2013581349142,2514.6258018943963,2489.1991929598507,2532.036071763576,2572.1253289037363,2703.9334913062607,2666.6367760967773,2637.3146883853337,2627.5050550676583,2645.174715135019,2743.4019781532156,2738.611111111111
95992,10,90011,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2474.9749631588093,2491.242593002836,2529.836032797074,2531.6969803534,2536.7642634853455,2516.338030010008,2686.055555555555
91926,11,77433,zip,TX,TX,Cypress,"Houston-The Woodlands-Sugar Land, TX",Harris County,1368.557291039999,1363.6833710224007,1370.5698020953807,1379.3664057171009,1380.3774523756174,1385.945119534685,1402.362067926326,1423.3057990734872,1428.1991015444496,1415.9538120169943,1402.2019166931034,1391.97300177741,1396.0025483569377,1401.78443075374,1426.8603323037808,1424.6759142438532,1423.3802616136586,1403.7612005944563,1400.6026759702393,1400.6950025553238,1404.4910052502337,1405.2777105312111,1391.2834842615277,1379.8738378268579,1382.0473344551967,1403.7453171092582,1413.2318625115633,1412.0356230274085,1413.619568575034,1421.5237334919668,1431.09434044684,1437.7281213791864,1445.8573930585305,1463.1749621632534,1465.6681362768793,1472.534253815919,1469.101021179515,1486.1332825723523,1498.9227441361454,1493.674287175949,1484.1901335188713,1474.679356505241,1482.2737353364678,1483.9622531791204,1488.6799473277044,1489.1569253806545,1472.7851240993048,1470.8283904541643,1471.749853790428,1484.793903651289,1477.3397372229408,1484.7207614659055,1495.0334569817235,1516.5045349594693,1520.30566124136,1520.217439562998,1521.2592153056048,1529.0977303406771,1528.4510646317058,1523.3026127796502,1516.542094572398,1521.6055119744371,1539.511709006231,1547.756963031605,1548.848349671504,1536.126992542104,1539.157806684463,1553.6956661592067,1577.5612967183922,1587.3905081887021,1608.108675618855,1613.7121980334164,1622.4038565713065,1601.8963863398417,1586.7393484403406,1599.3000397277185,1637.0908693851275,1696.2590993836263,1739.8083539634767,1782.4656859483048,1811.598100559079,1825.6742871751017,1836.7441026186125,1851.5593856156565,1863.5932968291165,1862.5551316566475,1860.881449311429,1879.0063477150136,1898.1095612810009,1910.1052548186801,1930.1556444290648,1943.33384265645,1929.9758200575009,1911.697087774478,1913.1190420438277,1915.642588336981,1922.1509444952121,1918.5542643433996,1908.8116911913894,1902.889773373487,1899.2936665083703,1930.3104322188847,1962.1367073403007,1987.5075770316114,2019.8435183049648,2004.4776945972067,1982.9099767811333,1906.943650793651
84630,12,60629,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895.6853119826542,909.0006089179107,904.481190390321,905.0190320560276,892.269214192222,907.1464156048561,932.9125746755485,945.2703585645314,957.5462920020809,953.9595074598897,956.1240499566813,961.5833438459877,978.7002037397762,1016.3470964852285,1029.7853372527507,1044.1982741742022,1011.8976345629775,1019.1587561763529,1010.6429203751114,1046.4135854155484,1056.2055307555227,1067.054925520705,1068.0766417500774,1056.437701049374,1079.1842046125064,1094.9462530814576,1122.2110958006933,1128.4989377763313,1103.263308360488,1085.131430284537,1082.2722456040174,1088.2860694849653,1092.995147734069,1109.210635500684,1137.4404761904761
