date,MSA,Variable,Value
2000-02-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Government,131600.0
2000-02-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Total Private,831700.0
2000-02-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Government,190200.0
2000-02-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Total Private,785700.0
2000-02-01,"Sacramento-Roseville-Folsom, CA Metro Area",Government,210600.0
2000-02-01,"Sacramento-Roseville-Folsom, CA Metro Area",Total Private,576400.0
2000-02-01,"Salt Lake City, UT Metro Area",Government,81600.0
2000-02-01,"Salt Lake City, UT Metro Area",Total Private,457000.0
2000-02-01,"San Antonio-New Braunfels, TX Metro Area",Government,142400.0
2000-02-01,"San Antonio-New Braunfels, TX Metro Area",Total Private,600300.0
2000-02-01,"San Diego-Chula Vista-Carlsbad, CA Metro Area",Government,208200.0
2000-02-01,"San Diego-Chula Vista-Carlsbad, CA Metro Area",Total Private,971600.0
2000-02-01,"San Francisco-Oakland-Berkeley, CA Metro Area",Government,308400.0
2000-02-01,"San Francisco-Oakland-Berkeley, CA Metro Area",Total Private,1774900.0
2000-02-01,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",Government,97800.0
2000-02-01,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",Total Private,916700.0
2000-02-01,"St. Louis, MO-IL Metro Area",Government,164500.0
2000-02-01,"St. Louis, MO-IL Metro Area",Total Private,1138900.0
2000-02-01,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Government,142400.0
2000-02-01,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Total Private,996800.0
2000-02-01,"Yuba City, CA Metro Area",Government,10600.0
2000-02-01,"Yuba City, CA Metro Area",Total Private,24400.0
2000-03-01,"Austin-Round Rock-Georgetown, TX Metro Area",Government,142700.0
2000-03-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total Private,531600.0
2000-03-01,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Government,111500.0
2000-03-01,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Total Private,813400.0
2000-03-01,"Cincinnati, OH-KY-IN Metro Area",Government,128400.0
2000-03-01,"Cincinnati, OH-KY-IN Metro Area",Total Private,880300.0
2000-03-01,"Cleveland-Elyria, OH Metro Area",Government,142000.0
2000-03-01,"Cleveland-Elyria, OH Metro Area",Total Private,984300.0
2000-03-01,"Columbus, OH Metro Area",Government,154600.0
2000-03-01,"Columbus, OH Metro Area",Total Private,768100.0
2000-03-01,"Detroit-Warren-Dearborn, MI Metro Area",Government,239100.0
2000-03-01,"Detroit-Warren-Dearborn, MI Metro Area",Total Private,1936600.0
2000-03-01,"Indianapolis-Carmel-Anderson, IN Metro Area",Government,118800.0
2000-03-01,"Indianapolis-Carmel-Anderson, IN Metro Area",Total Private,774700.0
2000-03-01,"Kansas City, MO-KS Metro Area",Government,138200.0
2000-03-01,"Kansas City, MO-KS Metro Area",Total Private,832400.0
2000-03-01,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Government,290100.0
2000-03-01,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Total Private,1863300.0
2000-03-01,"Orlando-Kissimmee-Sanford, FL Metro Area",Government,93100.0
2000-03-01,"Orlando-Kissimmee-Sanford, FL Metro Area",Total Private,812900.0
2000-03-01,"Phoenix-Mesa-Chandler, AZ Metro Area",Government,200300.0
2000-03-01,"Phoenix-Mesa-Chandler, AZ Metro Area",Total Private,1369500.0
2000-03-01,"Pittsburgh, PA Metro Area",Government,131600.0
2000-03-01,"Pittsburgh, PA Metro Area",Total Private,1001300.0
2000-03-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Government,132100.0
2000-03-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Total Private,835200.0
2000-03-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Government,193500.0
2000-03-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Total Private,790000.0
2000-03-01,"Sacramento-Roseville-Folsom, CA Metro Area",Government,213300.0
2000-03-01,"Sacramento-Roseville-Folsom, CA Metro Area",Total Private,580900.0
2000-03-01,"Salt Lake City, UT Metro Area",Government,81700.0
2000-03-01,"Salt Lake City, UT Metro Area",Total Private,460600.0
2000-03-01,"San Antonio-New Braunfels, TX Metro Area",Government,142900.0
2000-03-01,"San Antonio-New Braunfels, TX Metro Area",Total Private,603500.0
2000-03-01,"San Diego-Chula Vista-Carlsbad, CA Metro Area",Government,210600.0
2000-03-01,"San Diego-Chula Vista-Carlsbad, CA Metro Area",Total Private,979600.0
2000-03-01,"San Francisco-Oakland-Berkeley, CA Metro Area",Government,311800.0
2000-03-01,"San Francisco-Oakland-Berkeley, CA Metro Area",Total Private,1792600.0
2000-03-01,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",Government,99900.0
2000-03-01,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",Total Private,929000.0
2000-03-01,"St. Louis, MO-IL Metro Area",Government,166100.0
2000-03-01,"St. Louis, MO-IL Metro Area",Total Private,1150400.0
2000-03-01,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Government,143200.0
2000-03-01,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Total Private,1014900.0
2000-03-01,"Yuba City, CA Metro Area",Government,11100.0
2000-03-01,"Yuba City, CA Metro Area",Total Private,24800.0
2000-04-01,"Austin-Round Rock-Georgetown, TX Metro Area",Government,142100.0
2000-04-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total Private,532900.0
2000-04-01,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Government,111500.0
2000-04-01,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Total Private,820600.0
2000-04-01,"Cincinnati, OH-KY-IN Metro Area",Government,129000.0
2000-04-01,"Cincinnati, OH-KY-IN Metro Area",Total Private,883400.0
2000-04-01,"Cleveland-Elyria, OH Metro Area",Government,141200.0
2000-04-01,"Cleveland-Elyria, OH Metro Area",Total Private,990800.0
2000-04-01,"Columbus, OH Metro Area",Government,155000.0
2000-04-01,"Columbus, OH Metro Area",Total Private,774600.0
2000-04-01,"Detroit-Warren-Dearborn, MI Metro Area",Government,240500.0
2000-04-01,"Detroit-Warren-Dearborn, MI Metro Area",Total Private,1968800.0
2000-04-01,"Indianapolis-Carmel-Anderson, IN Metro Area",Government,117400.0
2000-04-01,"Indianapolis-Carmel-Anderson, IN Metro Area",Total Private,778100.0
2000-04-01,"Kansas City, MO-KS Metro Area",Government,138300.0
2000-04-01,"Kansas City, MO-KS Metro Area",Total Private,839700.0
2000-04-01,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Government,296000.0
2000-04-01,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Total Private,1856000.0
2000-04-01,"Orlando-Kissimmee-Sanford, FL Metro Area",Government,92900.0
2000-04-01,"Orlando-Kissimmee-Sanford, FL Metro Area",Total Private,811100.0
2000-04-01,"Phoenix-Mesa-Chandler, AZ Metro Area",Government,201300.0
2000-04-01,"Phoenix-Mesa-Chandler, AZ Metro Area",Total Private,1371200.0
2000-04-01,"Pittsburgh, PA Metro Area",Government,131300.0
2000-04-01,"Pittsburgh, PA Metro Area",Total Private,1016200.0
2000-04-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Government,132600.0
2000-04-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Total Private,840900.0
2000-04-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Government,193600.0
2000-04-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Total Private,793100.0
2000-04-01,"Sacramento-Roseville-Folsom, CA Metro Area",Government,213100.0
2000-04-01,"Sacramento-Roseville-Folsom, CA Metro Area",Total Private,584300.0
2000-04-01,"Salt Lake City, UT Metro Area",Government,82900.0
2000-04-01,"Salt Lake City, UT Metro Area",Total Private,462700.0
2000-04-01,"San Antonio-New Braunfels, TX Metro Area",Government,143500.0
2000-04-01,"San Antonio-New Braunfels, TX Metro Area",Total Private,609000.0
2000-04-01,"San Diego-Chula Vista-Carlsbad, CA Metro Area",Government,209200.0
2000-04-01,"San Diego-Chula Vista-Carlsbad, CA Metro Area",Total Private,981400.0
2000-04-01,"San Francisco-Oakland-Berkeley, CA Metro Area",Government,313000.0
2000-04-01,"San Francisco-Oakland-Berkeley, CA Metro Area",Total Private,1796000.0
2000-04-01,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",Government,99600.0
2000-04-01,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",Total Private,929700.0
2000-04-01,"St. Louis, MO-IL Metro Area",Government,166300.0
2000-04-01,"St. Louis, MO-IL Metro Area",Total Private,1166700.0
2000-04-01,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Government,144900.0
2000-04-01,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Total Private,1009600.0
2000-04-01,"Yuba City, CA Metro Area",Government,10900.0
2000-04-01,"Yuba City, CA Metro Area",Total Private,25400.0
2000-05-01,"Austin-Round Rock-Georgetown, TX Metro Area",Government,143500.0
2000-05-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total Private,538900.0
2000-05-01,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Government,111700.0
2000-05-01,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Total Private,825600.0
2000-05-01,"Cincinnati, OH-KY-IN Metro Area",Government,131300.0
2000-05-01,"Cincinnati, OH-KY-IN Metro Area",Total Private,890900.0
2000-05-01,"Cleveland-Elyria, OH Metro Area",Government,145500.0
2000-05-01,"Cleveland-Elyria, OH Metro Area",Total Private,998900.0
2000-05-01,"Columbus, OH Metro Area",Government,156500.0
2000-05-01,"Columbus, OH Metro Area",Total Private,780100.0
2000-05-01,"Detroit-Warren-Dearborn, MI Metro Area",Government,243300.0
2000-05-01,"Detroit-Warren-Dearborn, MI Metro Area",Total Private,1993200.0
2000-05-01,"Indianapolis-Carmel-Anderson, IN Metro Area",Government,118400.0
2000-05-01,"Indianapolis-Carmel-Anderson, IN Metro Area",Total Private,787000.0
2000-05-01,"Kansas City, MO-KS Metro Area",Government,137800.0
2000-05-01,"Kansas City, MO-KS Metro Area",Total Private,843800.0
2000-05-01,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Government,301900.0
2000-05-01,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Total Private,1861000.0
2000-05-01,"Orlando-Kissimmee-Sanford, FL Metro Area",Government,95100.0
2000-05-01,"Orlando-Kissimmee-Sanford, FL Metro Area",Total Private,813400.0
2000-05-01,"Phoenix-Mesa-Chandler, AZ Metro Area",Government,205700.0
2000-05-01,"Phoenix-Mesa-Chandler, AZ Metro Area",Total Private,1377100.0
2000-05-01,"Pittsburgh, PA Metro Area",Government,133600.0
2000-05-01,"Pittsburgh, PA Metro Area",Total Private,1023300.0
2000-05-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Government,135600.0
2000-05-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Total Private,846200.0
2000-05-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Government,198400.0
2000-05-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Total Private,799800.0
2000-05-01,"Sacramento-Roseville-Folsom, CA Metro Area",Government,216600.0
2000-05-01,"Sacramento-Roseville-Folsom, CA Metro Area",Total Private,587200.0
2000-05-01,"Salt Lake City, UT Metro Area",Government,84500.0
2000-05-01,"Salt Lake City, UT Metro Area",Total Private,464700.0
2000-05-01,"San Antonio-New Braunfels, TX Metro Area",Government,146100.0
2000-05-01,"San Antonio-New Braunfels, TX Metro Area",Total Private,613900.0
2000-05-01,"San Diego-Chula Vista-Carlsbad, CA Metro Area",Government,213500.0
2000-05-01,"San Diego-Chula Vista-Carlsbad, CA Metro Area",Total Private,989400.0
2000-05-01,"San Francisco-Oakland-Berkeley, CA Metro Area",Government,318700.0
2000-05-01,"San Francisco-Oakland-Berkeley, CA Metro Area",Total Private,1808000.0
2000-05-01,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",Government,100700.0
2000-05-01,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",Total Private,942300.0
2000-05-01,"St. Louis, MO-IL Metro Area",Government,167000.0
2000-05-01,"St. Louis, MO-IL Metro Area",Total Private,1175100.0
2000-05-01,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Government,147300.0
2000-05-01,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Total Private,1011600.0
2000-05-01,"Yuba City, CA Metro Area",Government,11200.0
2000-05-01,"Yuba City, CA Metro Area",Total Private,25800.0
2000-06-01,"Austin-Round Rock-Georgetown, TX Metro Area",Government,138400.0
2000-06-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total Private,549300.0
2000-06-01,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Government,108900.0
2000-06-01,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Total Private,833100.0
2000-06-01,"Cincinnati, OH-KY-IN Metro Area",Government,125500.0
2000-06-01,"Cincinnati, OH-KY-IN Metro Area",Total Private,898700.0
2000-06-01,"Cleveland-Elyria, OH Metro Area",Government,141200.0
2000-06-01,"Cleveland-Elyria, OH Metro Area",Total Private,1008400.0
2000-06-01,"Columbus, OH Metro Area",Government,149500.0
2000-06-01,"Columbus, OH Metro Area",Total Private,786700.0
2000-06-01,"Detroit-Warren-Dearborn, MI Metro Area",Government,238100.0
2000-06-01,"Detroit-Warren-Dearborn, MI Metro Area",Total Private,2010400.0
2000-06-01,"Indianapolis-Carmel-Anderson, IN Metro Area",Government,112700.0
2000-06-01,"Indianapolis-Carmel-Anderson, IN Metro Area",Total Private,793700.0
2000-06-01,"Kansas City, MO-KS Metro Area",Government,138100.0
2000-06-01,"Kansas City, MO-KS Metro Area",Total Private,852300.0
2000-06-01,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Government,291200.0
2000-06-01,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Total Private,1869400.0
2000-06-01,"Orlando-Kissimmee-Sanford, FL Metro Area",Government,83700.0
2000-06-01,"Orlando-Kissimmee-Sanford, FL Metro Area",Total Private,821100.0
2000-06-01,"Phoenix-Mesa-Chandler, AZ Metro Area",Government,180000.0
2000-06-01,"Phoenix-Mesa-Chandler, AZ Metro Area",Total Private,1383800.0
2000-06-01,"Pittsburgh, PA Metro Area",Government,128699.99999999999
2000-06-01,"Pittsburgh, PA Metro Area",Total Private,1031900.0000000001
2000-06-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Government,134200.0
2000-06-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Total Private,854200.0
2000-06-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Government,194200.0
2000-06-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Total Private,806300.0
2000-06-01,"Sacramento-Roseville-Folsom, CA Metro Area",Government,217100.0
2000-06-01,"Sacramento-Roseville-Folsom, CA Metro Area",Total Private,596600.0
2000-06-01,"Salt Lake City, UT Metro Area",Government,81800.0
2000-06-01,"Salt Lake City, UT Metro Area",Total Private,469800.0
2000-06-01,"San Antonio-New Braunfels, TX Metro Area",Government,138100.0
2000-06-01,"San Antonio-New Braunfels, TX Metro Area",Total Private,621800.0
2000-06-01,"San Diego-Chula Vista-Carlsbad, CA Metro Area",Government,209500.0
2000-06-01,"San Diego-Chula Vista-Carlsbad, CA Metro Area",Total Private,999500.0
2000-06-01,"San Francisco-Oakland-Berkeley, CA Metro Area",Government,316500.0
2000-06-01,"San Francisco-Oakland-Berkeley, CA Metro Area",Total Private,1829800.0
2000-06-01,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",Government,103700.0
2000-06-01,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",Total Private,954100.0
2000-06-01,"St. Louis, MO-IL Metro Area",Government,166400.0
2000-06-01,"St. Louis, MO-IL Metro Area",Total Private,1184000.0
2000-06-01,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Government,133200.0
2000-06-01,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Total Private,1013000.0
2000-06-01,"Yuba City, CA Metro Area",Government,11300.0
2000-06-01,"Yuba City, CA Metro Area",Total Private,26800.0
2000-07-01,"Austin-Round Rock-Georgetown, TX Metro Area",Government,129600.0
2000-07-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total Private,549600.0
2000-07-01,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Government,97400.0
2000-07-01,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Total Private,826600.0
2000-07-01,"Cincinnati, OH-KY-IN Metro Area",Government,117600.0
2000-07-01,"Cincinnati, OH-KY-IN Metro Area",Total Private,896200.0
2000-07-01,"Cleveland-Elyria, OH Metro Area",Government,135500.0
2000-07-01,"Cleveland-Elyria, OH Metro Area",Total Private,1002800.0
2000-07-01,"Columbus, OH Metro Area",Government,145300.0
2000-07-01,"Columbus, OH Metro Area",Total Private,787100.0
2000-07-01,"Detroit-Warren-Dearborn, MI Metro Area",Government,201600.0
2000-07-01,"Detroit-Warren-Dearborn, MI Metro Area",Total Private,1968400.0
2000-07-01,"Indianapolis-Carmel-Anderson, IN Metro Area",Government,103300.0
2000-07-01,"Indianapolis-Carmel-Anderson, IN Metro Area",Total Private,787400.0
2000-07-01,"Kansas City, MO-KS Metro Area",Government,117300.0
2000-07-01,"Kansas City, MO-KS Metro Area",Total Private,842300.0
2000-07-01,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Government,271800.0
2000-07-01,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Total Private,1850300.0
2000-07-01,"Orlando-Kissimmee-Sanford, FL Metro Area",Government,81800.0
2000-07-01,"Orlando-Kissimmee-Sanford, FL Metro Area",Total Private,810800.0
2000-07-01,"Phoenix-Mesa-Chandler, AZ Metro Area",Government,174100.0
2000-07-01,"Phoenix-Mesa-Chandler, AZ Metro Area",Total Private,1370600.0
2000-07-01,"Pittsburgh, PA Metro Area",Government,119400.0
2000-07-01,"Pittsburgh, PA Metro Area",Total Private,1032099.9999999999
2000-07-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Government,124600.0
2000-07-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Total Private,858600.0
2000-07-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Government,186600.0
2000-07-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Total Private,800100.0
2000-07-01,"Sacramento-Roseville-Folsom, CA Metro Area",Government,204900.0
2000-07-01,"Sacramento-Roseville-Folsom, CA Metro Area",Total Private,597500.0
2000-07-01,"Salt Lake City, UT Metro Area",Government,76800.0
2000-07-01,"Salt Lake City, UT Metro Area",Total Private,469500.0
2000-07-01,"San Antonio-New Braunfels, TX Metro Area",Government,133100.0
2000-07-01,"San Antonio-New Braunfels, TX Metro Area",Total Private,620300.0
2000-07-01,"San Diego-Chula Vista-Carlsbad, CA Metro Area",Government,195200.0
2000-07-01,"San Diego-Chula Vista-Carlsbad, CA Metro Area",Total Private,996300.0
2000-07-01,"San Francisco-Oakland-Berkeley, CA Metro Area",Government,298600.0
2000-07-01,"San Francisco-Oakland-Berkeley, CA Metro Area",Total Private,1833600.0
2000-07-01,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",Government,99400.0
2000-07-01,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",Total Private,964000.0
2000-07-01,"St. Louis, MO-IL Metro Area",Government,143200.0
2000-07-01,"St. Louis, MO-IL Metro Area",Total Private,1177000.0
2000-07-01,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Government,131800.0
2000-07-01,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Total Private,997900.0
2000-07-01,"Yuba City, CA Metro Area",Government,10700.0
2000-07-01,"Yuba City, CA Metro Area",Total Private,27400.0
2000-08-01,"Austin-Round Rock-Georgetown, TX Metro Area",Government,134600.0
2000-08-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total Private,553800.0
