date,MSA,Variable,Value
2005-02-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total Private,537200.0
2005-02-01,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Government,124100.0
2005-02-01,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Total Private,806600.0
2005-02-01,"Cincinnati, OH-KY-IN Metro Area",Government,133500.0
2005-02-01,"Cincinnati, OH-KY-IN Metro Area",Total Private,873000.0
2005-02-01,"Cleveland-Elyria, OH Metro Area",Government,142800.0
2005-02-01,"Cleveland-Elyria, OH Metro Area",Total Private,908300.0
2005-02-01,"Columbus, OH Metro Area",Government,165200.0
2005-02-01,"Columbus, OH Metro Area",Total Private,757600.0
2005-02-01,"Detroit-Warren-Dearborn, MI Metro Area",Government,240900.0
2005-02-01,"Detroit-Warren-Dearborn, MI Metro Area",Total Private,1780800.0
2005-02-01,"Indianapolis-Carmel-Anderson, IN Metro Area",Government,126000.0
2005-02-01,"Indianapolis-Carmel-Anderson, IN Metro Area",Total Private,784500.0
2005-02-01,"Kansas City, MO-KS Metro Area",Government,144000.0
2005-02-01,"Kansas City, MO-KS Metro Area",Total Private,812100.0
2005-02-01,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Government,321400.0
2005-02-01,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Total Private,1998000.0
2005-02-01,"Orlando-Kissimmee-Sanford, FL Metro Area",Government,111100.0
2005-02-01,"Orlando-Kissimmee-Sanford, FL Metro Area",Total Private,881700.0
2005-02-01,"Phoenix-Mesa-Chandler, AZ Metro Area",Government,231800.0
2005-02-01,"Phoenix-Mesa-Chandler, AZ Metro Area",Total Private,1513100.0
2005-02-01,"Pittsburgh, PA Metro Area",Government,130000.0
2005-02-01,"Pittsburgh, PA Metro Area",Total Private,980800.0
2005-02-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Government,140300.0
2005-02-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Total Private,831700.0
2005-02-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Government,221500.0
2005-02-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Total Private,990800.0
2005-02-01,"Sacramento-Roseville-Folsom, CA Metro Area",Government,222800.0
2005-02-01,"Sacramento-Roseville-Folsom, CA Metro Area",Total Private,657200.0
2005-02-01,"Salt Lake City, UT Metro Area",Government,88500.0
2005-02-01,"Salt Lake City, UT Metro Area",Total Private,465100.0
2005-02-01,"San Antonio-New Braunfels, TX Metro Area",Government,146500.0
2005-02-01,"San Antonio-New Braunfels, TX Metro Area",Total Private,627800.0
2005-02-01,"San Diego-Chula Vista-Carlsbad, CA Metro Area",Government,216800.0
2005-02-01,"San Diego-Chula Vista-Carlsbad, CA Metro Area",Total Private,1058200.0
2005-02-01,"San Francisco-Oakland-Berkeley, CA Metro Area",Government,314000.0
2005-02-01,"San Francisco-Oakland-Berkeley, CA Metro Area",Total Private,1667900.0
2005-02-01,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",Government,96200.0
2005-02-01,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",Total Private,774700.0
2005-02-01,"St. Louis, MO-IL Metro Area",Government,167600.0
2005-02-01,"St. Louis, MO-IL Metro Area",Total Private,1140900.0
2005-02-01,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Government,151100.0
2005-02-01,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Total Private,1048700.0
2005-02-01,"Yuba City, CA Metro Area",Government,11300.0
2005-02-01,"Yuba City, CA Metro Area",Total Private,28000.0
2005-03-01,"Austin-Round Rock-Georgetown, TX Metro Area",Government,154700.0
2005-03-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total Private,542600.0
2005-03-01,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Government,124800.0
2005-03-01,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Total Private,813200.0
2005-03-01,"Cincinnati, OH-KY-IN Metro Area",Government,134500.0
2005-03-01,"Cincinnati, OH-KY-IN Metro Area",Total Private,882900.0
2005-03-01,"Cleveland-Elyria, OH Metro Area",Government,143400.0
2005-03-01,"Cleveland-Elyria, OH Metro Area",Total Private,914600.0
2005-03-01,"Columbus, OH Metro Area",Government,166400.0
2005-03-01,"Columbus, OH Metro Area",Total Private,763200.0
2005-03-01,"Detroit-Warren-Dearborn, MI Metro Area",Government,241000.0
2005-03-01,"Detroit-Warren-Dearborn, MI Metro Area",Total Private,1781200.0
2005-03-01,"Indianapolis-Carmel-Anderson, IN Metro Area",Government,125400.0
2005-03-01,"Indianapolis-Carmel-Anderson, IN Metro Area",Total Private,793100.0
2005-03-01,"Kansas City, MO-KS Metro Area",Government,145600.0
2005-03-01,"Kansas City, MO-KS Metro Area",Total Private,822400.0
2005-03-01,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Government,322500.0
2005-03-01,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Total Private,2007600.0
2005-03-01,"Orlando-Kissimmee-Sanford, FL Metro Area",Government,111500.0
2005-03-01,"Orlando-Kissimmee-Sanford, FL Metro Area",Total Private,888700.0
2005-03-01,"Phoenix-Mesa-Chandler, AZ Metro Area",Government,230100.0
2005-03-01,"Phoenix-Mesa-Chandler, AZ Metro Area",Total Private,1530600.0
2005-03-01,"Pittsburgh, PA Metro Area",Government,130900.0
2005-03-01,"Pittsburgh, PA Metro Area",Total Private,987300.0
2005-03-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Government,140600.0
2005-03-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Total Private,837400.0
2005-03-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Government,223200.0
2005-03-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Total Private,1001000.0
2005-03-01,"Sacramento-Roseville-Folsom, CA Metro Area",Government,224000.0
2005-03-01,"Sacramento-Roseville-Folsom, CA Metro Area",Total Private,661500.0
2005-03-01,"Salt Lake City, UT Metro Area",Government,88200.0
2005-03-01,"Salt Lake City, UT Metro Area",Total Private,467300.0
2005-03-01,"San Antonio-New Braunfels, TX Metro Area",Government,146600.0
2005-03-01,"San Antonio-New Braunfels, TX Metro Area",Total Private,633900.0
2005-03-01,"San Diego-Chula Vista-Carlsbad, CA Metro Area",Government,217600.0
2005-03-01,"San Diego-Chula Vista-Carlsbad, CA Metro Area",Total Private,1064400.0
2005-03-01,"San Francisco-Oakland-Berkeley, CA Metro Area",Government,315200.0
2005-03-01,"San Francisco-Oakland-Berkeley, CA Metro Area",Total Private,1674000.0
2005-03-01,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",Government,96900.0
2005-03-01,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",Total Private,777700.0
2005-03-01,"St. Louis, MO-IL Metro Area",Government,167400.0
2005-03-01,"St. Louis, MO-IL Metro Area",Total Private,1153000.0
2005-03-01,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Government,150300.0
2005-03-01,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Total Private,1055900.0
2005-03-01,"Yuba City, CA Metro Area",Government,11500.0
2005-03-01,"Yuba City, CA Metro Area",Total Private,28100.0
2005-04-01,"Austin-Round Rock-Georgetown, TX Metro Area",Government,155300.0
2005-04-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total Private,547700.0
2005-04-01,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Government,125600.0
2005-04-01,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Total Private,819200.0
2005-04-01,"Cincinnati, OH-KY-IN Metro Area",Government,134900.0
2005-04-01,"Cincinnati, OH-KY-IN Metro Area",Total Private,895100.0
2005-04-01,"Cleveland-Elyria, OH Metro Area",Government,143700.0
2005-04-01,"Cleveland-Elyria, OH Metro Area",Total Private,924800.0
2005-04-01,"Columbus, OH Metro Area",Government,167200.0
2005-04-01,"Columbus, OH Metro Area",Total Private,771800.0
2005-04-01,"Detroit-Warren-Dearborn, MI Metro Area",Government,241500.0
2005-04-01,"Detroit-Warren-Dearborn, MI Metro Area",Total Private,1806500.0
2005-04-01,"Indianapolis-Carmel-Anderson, IN Metro Area",Government,123800.0
2005-04-01,"Indianapolis-Carmel-Anderson, IN Metro Area",Total Private,806000.0
2005-04-01,"Kansas City, MO-KS Metro Area",Government,146900.0
2005-04-01,"Kansas City, MO-KS Metro Area",Total Private,831300.0
2005-04-01,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Government,324700.0
2005-04-01,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Total Private,2020500.0
2005-04-01,"Orlando-Kissimmee-Sanford, FL Metro Area",Government,111500.0
2005-04-01,"Orlando-Kissimmee-Sanford, FL Metro Area",Total Private,895800.0
2005-04-01,"Phoenix-Mesa-Chandler, AZ Metro Area",Government,231000.0
2005-04-01,"Phoenix-Mesa-Chandler, AZ Metro Area",Total Private,1554300.0
2005-04-01,"Pittsburgh, PA Metro Area",Government,131000.0
2005-04-01,"Pittsburgh, PA Metro Area",Total Private,1003700.0
2005-04-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Government,140300.0
2005-04-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Total Private,844300.0
2005-04-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Government,224500.0
2005-04-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Total Private,1012100.0
2005-04-01,"Sacramento-Roseville-Folsom, CA Metro Area",Government,225100.0
2005-04-01,"Sacramento-Roseville-Folsom, CA Metro Area",Total Private,664700.0
2005-04-01,"Salt Lake City, UT Metro Area",Government,88800.0
2005-04-01,"Salt Lake City, UT Metro Area",Total Private,474300.0
2005-04-01,"San Antonio-New Braunfels, TX Metro Area",Government,147400.0
2005-04-01,"San Antonio-New Braunfels, TX Metro Area",Total Private,639900.0
2005-04-01,"San Diego-Chula Vista-Carlsbad, CA Metro Area",Government,218000.0
2005-04-01,"San Diego-Chula Vista-Carlsbad, CA Metro Area",Total Private,1073500.0
2005-04-01,"San Francisco-Oakland-Berkeley, CA Metro Area",Government,316500.0
2005-04-01,"San Francisco-Oakland-Berkeley, CA Metro Area",Total Private,1679700.0
2005-04-01,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",Government,97000.0
2005-04-01,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",Total Private,778200.0
2005-04-01,"St. Louis, MO-IL Metro Area",Government,169300.0
2005-04-01,"St. Louis, MO-IL Metro Area",Total Private,1170400.0
2005-04-01,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Government,149500.0
2005-04-01,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Total Private,1061900.0
2005-04-01,"Yuba City, CA Metro Area",Government,11600.0
2005-04-01,"Yuba City, CA Metro Area",Total Private,28600.0
2005-05-01,"Austin-Round Rock-Georgetown, TX Metro Area",Government,156100.0
2005-05-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total Private,550100.0
2005-05-01,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Government,125500.0
2005-05-01,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Total Private,824700.0
2005-05-01,"Cincinnati, OH-KY-IN Metro Area",Government,135400.0
2005-05-01,"Cincinnati, OH-KY-IN Metro Area",Total Private,902600.0
2005-05-01,"Cleveland-Elyria, OH Metro Area",Government,144400.0
2005-05-01,"Cleveland-Elyria, OH Metro Area",Total Private,931000.0
2005-05-01,"Columbus, OH Metro Area",Government,168300.0
2005-05-01,"Columbus, OH Metro Area",Total Private,776800.0
2005-05-01,"Detroit-Warren-Dearborn, MI Metro Area",Government,243300.0
2005-05-01,"Detroit-Warren-Dearborn, MI Metro Area",Total Private,1829200.0
2005-05-01,"Indianapolis-Carmel-Anderson, IN Metro Area",Government,124000.0
2005-05-01,"Indianapolis-Carmel-Anderson, IN Metro Area",Total Private,812400.0
2005-05-01,"Kansas City, MO-KS Metro Area",Government,145100.0
2005-05-01,"Kansas City, MO-KS Metro Area",Total Private,836100.0
2005-05-01,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Government,325400.0
2005-05-01,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Total Private,2022100.0
2005-05-01,"Orlando-Kissimmee-Sanford, FL Metro Area",Government,112500.0
2005-05-01,"Orlando-Kissimmee-Sanford, FL Metro Area",Total Private,901500.0
2005-05-01,"Phoenix-Mesa-Chandler, AZ Metro Area",Government,229300.0
2005-05-01,"Phoenix-Mesa-Chandler, AZ Metro Area",Total Private,1558200.0
2005-05-01,"Pittsburgh, PA Metro Area",Government,130300.00000000001
2005-05-01,"Pittsburgh, PA Metro Area",Total Private,1012300.0
2005-05-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Government,141100.0
2005-05-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Total Private,848900.0
2005-05-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Government,224500.0
2005-05-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Total Private,1013000.0
2005-05-01,"Sacramento-Roseville-Folsom, CA Metro Area",Government,226200.0
2005-05-01,"Sacramento-Roseville-Folsom, CA Metro Area",Total Private,667900.0
2005-05-01,"Salt Lake City, UT Metro Area",Government,88300.0
2005-05-01,"Salt Lake City, UT Metro Area",Total Private,475800.0
2005-05-01,"San Antonio-New Braunfels, TX Metro Area",Government,147600.0
2005-05-01,"San Antonio-New Braunfels, TX Metro Area",Total Private,644900.0
2005-05-01,"San Diego-Chula Vista-Carlsbad, CA Metro Area",Government,218700.0
2005-05-01,"San Diego-Chula Vista-Carlsbad, CA Metro Area",Total Private,1077900.0
2005-05-01,"San Francisco-Oakland-Berkeley, CA Metro Area",Government,317300.0
2005-05-01,"San Francisco-Oakland-Berkeley, CA Metro Area",Total Private,1683900.0
2005-05-01,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",Government,97400.0
2005-05-01,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",Total Private,781700.0
2005-05-01,"St. Louis, MO-IL Metro Area",Government,170200.0
2005-05-01,"St. Louis, MO-IL Metro Area",Total Private,1173500.0
2005-05-01,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Government,149900.0
2005-05-01,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Total Private,1063700.0
2005-05-01,"Yuba City, CA Metro Area",Government,11600.0
2005-05-01,"Yuba City, CA Metro Area",Total Private,28800.0
2005-06-01,"Austin-Round Rock-Georgetown, TX Metro Area",Government,151800.0
2005-06-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total Private,555500.0
2005-06-01,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Government,119400.0
2005-06-01,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Total Private,827200.0
2005-06-01,"Cincinnati, OH-KY-IN Metro Area",Government,132600.0
2005-06-01,"Cincinnati, OH-KY-IN Metro Area",Total Private,909700.0
2005-06-01,"Cleveland-Elyria, OH Metro Area",Government,143200.0
2005-06-01,"Cleveland-Elyria, OH Metro Area",Total Private,938700.0
2005-06-01,"Columbus, OH Metro Area",Government,161700.0
2005-06-01,"Columbus, OH Metro Area",Total Private,779800.0
2005-06-01,"Detroit-Warren-Dearborn, MI Metro Area",Government,238000.0
2005-06-01,"Detroit-Warren-Dearborn, MI Metro Area",Total Private,1835900.0
2005-06-01,"Indianapolis-Carmel-Anderson, IN Metro Area",Government,115300.0
2005-06-01,"Indianapolis-Carmel-Anderson, IN Metro Area",Total Private,817100.0
2005-06-01,"Kansas City, MO-KS Metro Area",Government,143200.0
2005-06-01,"Kansas City, MO-KS Metro Area",Total Private,842700.0
2005-06-01,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Government,297000.0
2005-06-01,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Total Private,2023200.0
2005-06-01,"Orlando-Kissimmee-Sanford, FL Metro Area",Government,100200.0
2005-06-01,"Orlando-Kissimmee-Sanford, FL Metro Area",Total Private,903500.0
2005-06-01,"Phoenix-Mesa-Chandler, AZ Metro Area",Government,209000.0
2005-06-01,"Phoenix-Mesa-Chandler, AZ Metro Area",Total Private,1561900.0
2005-06-01,"Pittsburgh, PA Metro Area",Government,129400.0
2005-06-01,"Pittsburgh, PA Metro Area",Total Private,1018300.0
2005-06-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Government,141400.0
2005-06-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Total Private,853700.0
2005-06-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Government,220200.0
2005-06-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Total Private,1018400.0
2005-06-01,"Sacramento-Roseville-Folsom, CA Metro Area",Government,226100.0
2005-06-01,"Sacramento-Roseville-Folsom, CA Metro Area",Total Private,672700.0
2005-06-01,"Salt Lake City, UT Metro Area",Government,88400.0
2005-06-01,"Salt Lake City, UT Metro Area",Total Private,479300.0
2005-06-01,"San Antonio-New Braunfels, TX Metro Area",Government,143900.0
2005-06-01,"San Antonio-New Braunfels, TX Metro Area",Total Private,650700.0
2005-06-01,"San Diego-Chula Vista-Carlsbad, CA Metro Area",Government,219100.0
2005-06-01,"San Diego-Chula Vista-Carlsbad, CA Metro Area",Total Private,1082700.0
2005-06-01,"San Francisco-Oakland-Berkeley, CA Metro Area",Government,316200.0
2005-06-01,"San Francisco-Oakland-Berkeley, CA Metro Area",Total Private,1693000.0
2005-06-01,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",Government,97000.0
2005-06-01,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",Total Private,787800.0
2005-06-01,"St. Louis, MO-IL Metro Area",Government,166200.0
2005-06-01,"St. Louis, MO-IL Metro Area",Total Private,1177200.0
2005-06-01,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Government,138100.0
2005-06-01,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Total Private,1061900.0
2005-06-01,"Yuba City, CA Metro Area",Government,11700.0
2005-06-01,"Yuba City, CA Metro Area",Total Private,29100.0
2005-07-01,"Austin-Round Rock-Georgetown, TX Metro Area",Government,143100.0
2005-07-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total Private,557100.0
2005-07-01,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Government,98800.0
2005-07-01,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Total Private,831200.0
2005-07-01,"Cincinnati, OH-KY-IN Metro Area",Government,124500.0
2005-07-01,"Cincinnati, OH-KY-IN Metro Area",Total Private,910700.0
2005-07-01,"Cleveland-Elyria, OH Metro Area",Government,134700.0
2005-07-01,"Cleveland-Elyria, OH Metro Area",Total Private,940600.0
2005-07-01,"Columbus, OH Metro Area",Government,157100.0
2005-07-01,"Columbus, OH Metro Area",Total Private,780100.0
2005-07-01,"Detroit-Warren-Dearborn, MI Metro Area",Government,207100.0
2005-07-01,"Detroit-Warren-Dearborn, MI Metro Area",Total Private,1794600.0
2005-07-01,"Indianapolis-Carmel-Anderson, IN Metro Area",Government,107400.0
2005-07-01,"Indianapolis-Carmel-Anderson, IN Metro Area",Total Private,816300.0
2005-07-01,"Kansas City, MO-KS Metro Area",Government,133300.0
2005-07-01,"Kansas City, MO-KS Metro Area",Total Private,835100.0
2005-07-01,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Government,292900.0
2005-07-01,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Total Private,2013800.0
2005-07-01,"Orlando-Kissimmee-Sanford, FL Metro Area",Government,98100.0
2005-07-01,"Orlando-Kissimmee-Sanford, FL Metro Area",Total Private,905500.0
2005-07-01,"Phoenix-Mesa-Chandler, AZ Metro Area",Government,201400.0
2005-07-01,"Phoenix-Mesa-Chandler, AZ Metro Area",Total Private,1562700.0
2005-07-01,"Pittsburgh, PA Metro Area",Government,116000.0
2005-07-01,"Pittsburgh, PA Metro Area",Total Private,1017600.0
2005-07-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Government,128900.0
2005-07-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Total Private,860900.0
2005-07-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Government,210800.0
2005-07-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Total Private,1016200.0
2005-07-01,"Sacramento-Roseville-Folsom, CA Metro Area",Government,221000.0
2005-07-01,"Sacramento-Roseville-Folsom, CA Metro Area",Total Private,677100.0
2005-07-01,"Salt Lake City, UT Metro Area",Government,86000.0
2005-07-01,"Salt Lake City, UT Metro Area",Total Private,482500.0
2005-07-01,"San Antonio-New Braunfels, TX Metro Area",Government,138500.0
2005-07-01,"San Antonio-New Braunfels, TX Metro Area",Total Private,652000.0
2005-07-01,"San Diego-Chula Vista-Carlsbad, CA Metro Area",Government,207900.0
2005-07-01,"San Diego-Chula Vista-Carlsbad, CA Metro Area",Total Private,1082600.0
2005-07-01,"San Francisco-Oakland-Berkeley, CA Metro Area",Government,305200.0
2005-07-01,"San Francisco-Oakland-Berkeley, CA Metro Area",Total Private,1692200.0
2005-07-01,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",Government,94300.0
2005-07-01,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",Total Private,788200.0
2005-07-01,"St. Louis, MO-IL Metro Area",Government,148300.0
2005-07-01,"St. Louis, MO-IL Metro Area",Total Private,1172100.0
2005-07-01,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Government,137300.0
2005-07-01,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Total Private,1057500.0
2005-07-01,"Yuba City, CA Metro Area",Government,10000.0
2005-07-01,"Yuba City, CA Metro Area",Total Private,29200.0
2005-08-01,"Austin-Round Rock-Georgetown, TX Metro Area",Government,144000.0
2005-08-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total Private,559200.0
2005-08-01,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Government,114600.0
2005-08-01,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Total Private,833500.0
2005-08-01,"Cincinnati, OH-KY-IN Metro Area",Government,125800.0
2005-08-01,"Cincinnati, OH-KY-IN Metro Area",Total Private,911100.0
2005-08-01,"Cleveland-Elyria, OH Metro Area",Government,133500.0
2005-08-01,"Cleveland-Elyria, OH Metro Area",Total Private,943600.0
2005-08-01,"Columbus, OH Metro Area",Government,156600.0
2005-08-01,"Columbus, OH Metro Area",Total Private,782100.0
2005-08-01,"Detroit-Warren-Dearborn, MI Metro Area",Government,205600.0
2005-08-01,"Detroit-Warren-Dearborn, MI Metro Area",Total Private,1825200.0
2005-08-01,"Indianapolis-Carmel-Anderson, IN Metro Area",Government,111800.0
2005-08-01,"Indianapolis-Carmel-Anderson, IN Metro Area",Total Private,820000.0
2005-08-01,"Kansas City, MO-KS Metro Area",Government,130600.0
2005-08-01,"Kansas City, MO-KS Metro Area",Total Private,839300.0
2005-08-01,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Government,320800.0
2005-08-01,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Total Private,2025700.0
2005-08-01,"Orlando-Kissimmee-Sanford, FL Metro Area",Government,109800.0
2005-08-01,"Orlando-Kissimmee-Sanford, FL Metro Area",Total Private,909000.0
2005-08-01,"Phoenix-Mesa-Chandler, AZ Metro Area",Government,216800.0
2005-08-01,"Phoenix-Mesa-Chandler, AZ Metro Area",Total Private,1573500.0
2005-08-01,"Pittsburgh, PA Metro Area",Government,112000.0
2005-08-01,"Pittsburgh, PA Metro Area",Total Private,1017600.0
2005-08-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Government,127300.0
2005-08-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Total Private,866200.0
2005-08-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Government,210600.0
2005-08-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Total Private,1020300.0
2005-08-01,"Sacramento-Roseville-Folsom, CA Metro Area",Government,219700.0
2005-08-01,"Sacramento-Roseville-Folsom, CA Metro Area",Total Private,679100.0
2005-08-01,"Salt Lake City, UT Metro Area",Government,86200.0
2005-08-01,"Salt Lake City, UT Metro Area",Total Private,486700.0
2005-08-01,"San Antonio-New Braunfels, TX Metro Area",Government,140500.0
2005-08-01,"San Antonio-New Braunfels, TX Metro Area",Total Private,654100.0
2005-08-01,"San Diego-Chula Vista-Carlsbad, CA Metro Area",Government,205300.0
2005-08-01,"San Diego-Chula Vista-Carlsbad, CA Metro Area",Total Private,1088500.0
2005-08-01,"San Francisco-Oakland-Berkeley, CA Metro Area",Government,300800.0
2005-08-01,"San Francisco-Oakland-Berkeley, CA Metro Area",Total Private,1697300.0
2005-08-01,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",Government,93700.0
2005-08-01,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",Total Private,790500.0
2005-08-01,"St. Louis, MO-IL Metro Area",Government,153700.0
2005-08-01,"St. Louis, MO-IL Metro Area",Total Private,1178700.0
2005-08-01,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Government,147800.0
2005-08-01,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Total Private,1059500.0
2005-08-01,"Yuba City, CA Metro Area",Government,11000.0
2005-08-01,"Yuba City, CA Metro Area",Total Private,29500.0
2005-09-01,"Austin-Round Rock-Georgetown, TX Metro Area",Government,152300.0
2005-09-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total Private,560000.0
2005-09-01,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Government,125800.0
2005-09-01,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Total Private,834100.0
2005-09-01,"Cincinnati, OH-KY-IN Metro Area",Government,131100.0
2005-09-01,"Cincinnati, OH-KY-IN Metro Area",Total Private,909800.0
2005-09-01,"Cleveland-Elyria, OH Metro Area",Government,138900.0
2005-09-01,"Cleveland-Elyria, OH Metro Area",Total Private,940800.0
2005-09-01,"Columbus, OH Metro Area",Government,161900.0
2005-09-01,"Columbus, OH Metro Area",Total Private,783400.0
2005-09-01,"Detroit-Warren-Dearborn, MI Metro Area",Government,233300.0
2005-09-01,"Detroit-Warren-Dearborn, MI Metro Area",Total Private,1828000.0
2005-09-01,"Indianapolis-Carmel-Anderson, IN Metro Area",Government,123600.0
2005-09-01,"Indianapolis-Carmel-Anderson, IN Metro Area",Total Private,817300.0
2005-09-01,"Kansas City, MO-KS Metro Area",Government,142300.0
2005-09-01,"Kansas City, MO-KS Metro Area",Total Private,837500.0
2005-09-01,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Government,323900.0
2005-09-01,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Total Private,2038400.0
2005-09-01,"Orlando-Kissimmee-Sanford, FL Metro Area",Government,112500.0
2005-09-01,"Orlando-Kissimmee-Sanford, FL Metro Area",Total Private,911500.0
2005-09-01,"Phoenix-Mesa-Chandler, AZ Metro Area",Government,231800.0
2005-09-01,"Phoenix-Mesa-Chandler, AZ Metro Area",Total Private,1587200.0
2005-09-01,"Pittsburgh, PA Metro Area",Government,125700.0
2005-09-01,"Pittsburgh, PA Metro Area",Total Private,1013200.0
2005-09-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Government,131900.0
2005-09-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Total Private,868900.0
2005-09-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Government,217500.0
2005-09-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Total Private,1030099.9999999999
2005-09-01,"Sacramento-Roseville-Folsom, CA Metro Area",Government,224000.0
2005-09-01,"Sacramento-Roseville-Folsom, CA Metro Area",Total Private,679800.0
2005-09-01,"Salt Lake City, UT Metro Area",Government,88800.0
